T,KP,KI,KD
0.1,0.42901286,0.04659176,0.0
0.2,0.64406127,0.2915012,0.0
0.30000000000000004,0.59965295,0.2551469,0.0
0.4,0.4351943,0.063122265,0.0
0.5,0.4118625,0.039735973,0.0
0.6000000000000001,0.40898964,0.036948897,0.0
0.7000000000000001,0.4077934,0.035320304,0.0
0.8,0.4069557,0.033932783,0.0
0.9,0.40630293,0.03267294,0.0
1.0,0.40575668,0.03149084,0.0
1.1,0.40527254,0.030358136,0.0
1.2000000000000002,0.40482453,0.029258162,0.0
1.3,0.4043975,0.028181091,0.0
1.4000000000000001,0.4039826,0.027121037,0.0
1.5,0.40357462,0.02607441,0.0
1.6,0.4031705,0.02503898,0.0
1.7000000000000002,0.4027683,0.024013266,0.0
1.8,0.40236706,0.022996292,0.0
1.9000000000000001,0.40196598,0.021987356,0.0
2.0,0.40156478,0.020985909,0.0
2.1,0.4011631,0.019991443,0.0
2.2,0.40076077,0.019003637,0.0
2.3000000000000003,0.40035775,0.018022142,0.0
2.4000000000000004,0.39995384,0.017046615,0.0
2.5,0.399549,0.016076803,0.0
2.6,0.39914325,0.015112363,0.0
2.7,0.3987364,0.014152989,0.0
2.8000000000000003,0.39832842,0.01319851,0.0
2.9000000000000004,0.39791924,0.0122486055,0.0
3.0,0.3975088,0.011303052,0.0
3.1,0.39709705,0.010361522,0.0
3.2,0.39668393,0.009423852,0.0
3.3000000000000003,0.39626938,0.008489713,0.0
3.4000000000000004,0.3958533,0.007558942,0.0
3.5,0.3954356,0.0066312402,0.0
3.6,0.39501625,0.005706385,0.0
3.7,0.39459518,0.0047841966,0.0
3.8000000000000003,0.39417225,0.0038643926,0.0
3.9000000000000004,0.39374742,0.0029467493,0.0
4.0,0.39332056,0.002031058,0.0
4.1000000000000005,0.3928917,0.0011170655,0.0
4.2,0.39246064,0.00020462275,0.0
4.3,0.39202744,0.0,0.0
4.4,0.39204895,0.0,0.0
4.5,0.3920666,0.0,0.0
4.6000000000000005,0.3920773,0.0,0.0
4.7,0.39208382,0.0,0.0
4.800000000000001,0.39208776,0.0,0.0
4.9,0.3920902,0.0,0.0
5.0,0.3920917,0.0,0.0
5.1000000000000005,0.39209256,0.0,0.0
5.2,0.39209306,0.0,0.0
5.300000000000001,0.39209336,0.0,0.0
5.4,0.3920936,0.0,0.0
5.5,0.3920937,0.0,0.0
5.6000000000000005,0.39209372,0.0,0.0
5.7,0.39209378,0.0,0.0
5.800000000000001,0.3920938,0.0,0.0
5.9,0.3920938,0.0,0.0
6.0,0.39209384,0.0,0.0
6.1000000000000005,0.39209384,0.0,0.0
6.2,0.39209384,0.0,0.0
6.300000000000001,0.39209384,0.0,0.0
6.4,0.39209384,0.0,0.0
6.5,0.39209384,0.0,0.0
6.6000000000000005,0.39209384,0.0,0.0
6.7,0.39209384,0.0,0.0
6.800000000000001,0.39209384,0.0,0.0
6.9,0.39209384,0.0,0.0
7.0,0.39209384,0.0,0.0
7.1000000000000005,0.39209384,0.0,0.0
7.2,0.39209384,0.0,0.0
7.300000000000001,0.39209384,0.0,0.0
7.4,0.39209384,0.0,0.0
7.5,0.39209384,0.0,0.0
7.6000000000000005,0.39209384,0.0,0.0
7.7,0.39209384,0.0,0.0
7.800000000000001,0.39209384,0.0,0.0
7.9,0.39209384,0.0,0.0
8.0,0.39209384,0.0,0.0
8.1,0.39209384,0.0,0.0
8.200000000000001,0.39209384,0.0,0.0
8.3,0.39209384,0.0,0.0
8.4,0.39209384,0.0,0.0
8.5,0.39209384,0.0,0.0
8.6,0.39209384,0.0,0.0
8.700000000000001,0.39209384,0.0,0.0
8.8,0.39209384,0.0,0.0
8.9,0.39209384,0.0,0.0
9.0,0.39209384,0.0,0.0
9.1,0.39209384,0.0,0.0
9.200000000000001,0.39209384,0.0,0.0
9.3,0.39209384,0.0,0.0
9.4,0.39209384,0.0,0.0
9.5,0.39209384,0.0,0.0
9.600000000000001,0.39209384,0.0,0.0
9.700000000000001,0.39209384,0.0,0.0
9.8,0.39209384,0.0,0.0
9.9,0.39209384,0.0,0.0
10.0,0.39209384,0.0,0.0
