T,PID_OUTPUT
0.0,5.0
0.1,20.0
0.2,21.65
0.30000000000000004,18.65
0.4,19.9685
0.5,20.447
0.6000000000000001,20.015465
0.7000000000000001,20.094995
0.8,20.18584385
0.9,20.1337874
1.0,20.1307970765
1.1,20.1437497325
1.2000000000000002,20.137535149085
1.3,20.13450335381
1.4000000000000001,20.13504472626065
1.5,20.13338141390855
1.6,20.131673649873377
1.7000000000000002,20.13056030421457
1.8,20.12924801288414
1.9000000000000001,20.12788296800436
2.0,20.12661038244268
2.1,20.12533682811757
2.2,20.124061478361334
2.3000000000000003,20.122808206956503
2.4000000000000004,20.121567771716002
2.5,20.120337481811294
2.6,20.119120520477704
2.7,20.11791613112601
2.8000000000000003,20.116723593064123
2.9000000000000004,20.115543174554674
3.0,20.11437475349505
3.1,20.11321810979426
3.2,20.112073162514328
3.3000000000000003,20.110939803680502
3.4000000000000004,20.109817902413273
3.5,20.108707345531855
3.6,20.107608020751062
3.7,20.106519812857165
3.8000000000000003,20.105442609439592
3.9000000000000004,20.10437629962233
4.0,20.103320773080302
4.1000000000000005,20.102275920724047
4.2,20.10124163466572
4.3,20.100217808039904
4.4,20.09920433506345
4.5,20.098201111039803
4.6000000000000005,20.097208032324232
4.7,20.096224996318554
4.800000000000001,20.095251901464504
4.9,20.09428864723033
5.0,20.09333513410052
5.1000000000000005,20.09239126356623
5.2,20.09145693811479
5.300000000000001,20.090532061219573
5.4,20.08961653733014
5.5,20.088710271862322
5.6000000000000005,20.087813171188444
5.7,20.08692514262766
5.800000000000001,20.08604609443638
5.9,20.085175935798794
6.0,20.08431457681748
6.1000000000000005,20.08346192850412
6.2,20.08261790277032
6.300000000000001,20.081782412418484
6.4,20.080955371132823
6.5,20.080136693470443
6.6000000000000005,20.079326294852496
6.7,20.078524091555465
6.800000000000001,20.077730000702495
6.9,20.07694394025485
7.0,20.07616582900342
7.1000000000000005,20.075395586560337
7.2,20.074633133350684
7.300000000000001,20.073878390604243
7.4,20.073131280347393
7.5,20.072391725395033
7.6000000000000005,20.0716596493426
7.7,20.0709349765582
7.800000000000001,20.07021763217478
7.9,20.069507542082395
8.0,20.06880463292055
8.1,20.06810883207062
8.200000000000001,20.067420067648364
8.3,20.066738268496465
8.4,20.066063364177214
8.5,20.065395284965213
8.6,20.064733961840176
8.700000000000001,20.0640793264798
8.8,20.0634313112527
8.9,20.062789849211438
9.0,20.062154874085582
9.1,20.061526320274883
9.200000000000001,20.060904122842487
9.3,20.060288217508223
9.4,20.05967854064197
9.5,20.059075029257073
9.600000000000001,20.058477621003853
9.700000000000001,20.057886254163144
9.8,20.05730086763994
9.9,20.056721400957056
10.0,20.056147794248908
